ID,Document,Sentence_Count,Word_Count,Readability_Level,Readability_Level_19,Readability_Level_7,Readability_Level_5,Readability_Level_3,Source,Book,Author,Domain,Text_Class,Sentence
1010222,BAREC_Majed_1686_2011_001.txt,10,35,13-mim,13,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,ماجد ال+ أربعاء 15 يونيو 2011م – 13 رجب 1432هـ - ال+ سنة ال+ ثالثة و+ ال+ ثلاثون ال+ ثمن 5 درى +هم ال+ عدد 1686 بي بي تفوز ب+ عظم +ه ديناصور ل+ ولوا +ه . . قمر . . نجمة صداقة إلى ال+ أبد
1010223,BAREC_Majed_1686_2011_002.txt,24,126,12-lam,12,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,أمون +ه المزيونة سيناريو : محمد الجنيبي رسوم : أمن +ه ال+ حمادي تأخرنا على ال+ عودة إلى ال+ بيت أخشى أن يؤنبنا أبي لا تغادر هذا ال+ مكان يا على لماذا ؟ س+ أذهب ل+ أبحث عن سيف و+ محسن و+ لماذا أبقى في مكان +ي ؟ ل+ أن +ه من ال+ ممكن أن يعودا و+ لا يجدان +نا ف+ نفقد +هما أريد أن أمارس دور ال+ صياد صياد ؟ ماذا تعني ؟ أنا ال+ صياد و+ سيف و+ محسن هما ال+ طريدة لا يعقل هذا يا على أنا صياد ماهر و+ س+ أصيد +هما ب+ سرعة لا لا . . يعني لا ما أري +ك أن تمارس مهنة حارس ال+ غابة و+ تحرس هذا ال+ شجر ؟ نعم ، أنا ال+ حارس لم أتصور ال+ حديقة ب+ هذه ال+ مساحة ال+ كبيرة ، أين ذهبا يا تري ؟ أين ذهبت يا أمون +ه ؟ تأخرنا و+ س+ تقلق أم +ي قلت ل +ك أن +ني س+ أجد +هما ب+ سرعة معركة حربية في بطون كائنات فضائية ب+ مطعم أبو حدوا +ه
1010224,BAREC_Majed_1686_2011_003.txt,28,219,12-lam,12,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,كتب +ي . . رفيقة درب +ي و+ نحن على أبواب وداع عام دراسي ، نأمل أن يكون ختام +ه مسكا . . و+ أن يكون ال+ نجاح حليف +كم ك+ عهدي +ي ب +كم دائما . طوال ال+ سنة ال+ مدرسية ، تعامل +نا مع كتب +نا و+ كراس ، و+ كانت رفيق +نا ال+ يومي على درب ال+ تحصيل . استوعب +نا ما في +ها . . حفظ +نا ال+ أشعار . . حللنا ال+ مسائل ال+ حسابية . . و+ أضفنا إلى رصيد +نا ال+ كثير من ال+ معلومات في معارف و+ علوم شتى . كتب +نا - كم قبل +نا صفحات +ها و+ نحن نذاكر و+ نجتهد ل+ ال+ فوز ب+ أعلى ال+ درجات - ما هو مصير هذه ال+ كتب التي كانت رفيق +نا ال+ يومي في حقيبة +نا ال+ مدرسية ؟ هل نتخلص من +ها . . أم نحاول ال+ استفادة ب +ها ، و+ أفاد +ه غير +نا من +ها ؟ أتوقع من +كم أن تكونوا من أصدقاء +ي ال+ منظمين الذين يحرصون على كتب +هم ، لا يمزقون صفحات +ها ، أو يشخبطون على +ها . هذه ال+ كتب يمكن +كم إعادة +ها إلى ال+ مدرسة . . أو يمكن أن يستفيد ب +ها إخوة +كم ال+ أصغر من +كم . . أو يمكن إهداء +ها إلى صديق . . أو أي تلميذ يحتاج +ها . أثق ب+ أن أصدقاء +ي الذين يعرفون قيمة ال+ كتاب و+ يقدرون +ها ، لن يفرطوا ب+ كتب +هم - ال+ خيار ل +هم ب+ ال+ احتفاظ ب +ها - أو ب+ إتاحة ال+ مجال ل+ سوا +هم ب+ ال+ استفادة من +ها . مع محبة +ي ماجد ال+ طيور تستغيث من صديق أبي ال+ ظرفاء سرقات صيفي +ه . . يتابع +ها ال+ مساعد ف+ همان حنتوفة يتفوق على ال+ بلدية ال+ مريخ يحتاج أمهات ! لا يا ثعلب ال+ بحر إن +ه عبد ال+ مرتبات رونالدينهو منبهر بكرة قدم جديدة !
1010225,BAREC_Majed_1686_2011_004.txt,40,239,12-lam,12,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,مطعم أبو حدوا +ه ل+ ال+ وجبات ال+ ثقيلة فكرة و+ رسوم : سامح حسان من ال+ طبق ال+ طائر إلى ال+ قيادة تم ال+ عثور على كوكب ال+ أرض . نحن نتجه إلى +ه ل+ تنفيذ ال+ مهمة ال+ مهمة ال+ محددة هي تدمير سلاح ال+ أرضيين و+ احتلال كوكب +هم علم هذا ال+ مكان يصلح تماما ل+ ال+ هبوط ما هذه ال+ رائحة ال+ شهية ؟ يبدو أن هذه رائحة طعام ال+ أرضيين ف+ ل+ نتتبع +ها هل س+ نترك مهمة تدمير ال+ أرض و+ نتتبع رائحة ال+ طعام ؟ خمس دقائق تأخير لن تضر ، ف+ ل+ نأكل طعام +هم ثم ندمر هذا ال+ كوكب زبونان متجهان إلى مطعم أبو حدوا +ه . س+ أبلغ ماكيرو ، ل+ يلحق ب +هما قبل أن يدخلا أهلا و+ سهلا . تفضلا تفضلا . قاعة كبار ال+ زوار من هنا يبدو من مظهري +كما أن +كما غريبان عن ال+ مدينة نعم . نحن من أعلى ماذا ؟ نقصد من ال+ شمال حسنا . ماذا تطلبان ؟ أريد أن أتذوق هذه ال+ أكلة التي تشبه ال+ طبق ال+ طائر الذي أحضر +نا إلى هنا س+ تتسبب في كشف أمر +نا أيها ال+ غبي . . و+ أنا أريد تناول هذا ال+ صاروخ حسنا . واحد بيتزا . . دقائق و+ س+ تتناولان أشهى وجبة سريعة في حياتي +كما كان ال+ أكل لذيذا و+ لكن هل تسمع ما أسمع +ه ؟ نعم . إن +ها نفس أصوات ال+ معركة ال+ حربية التي تدور في ب+ طني +ي ألم رهيب . . آه يا ب+ طني +ي . . إن +ه يتمزق أوووه . . يبدو أن ال+ وجبات ال+ سريعة س+ تفسد خطة تدمير ال+ أرض من ال+ قيادة إلى ال+ جنود ال+ فضائيين : هل تمت مهمة تدمير ال+ أرض ب+ نجاح ؟ من ال+ جنود ال+ فضائيين إلى ال+ قيادة : تم تأجيل ال+ مهمة إلى ما بعد ال+ انتهاء من ال+ حمام . . آه يا ب+ طني +ي آه يا ب+ طني +ي !
1010226,BAREC_Majed_1686_2011_005.txt,32,217,13-mim,13,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,"روح رياضية ( طيوب وطيوش ) شقيقان توأم ، في ال+ تاسعة من عمري +هما ، صفاتي +هما عكس ب+ عض +هما تماما . "" طيوب "" هادئ ، يتصرف ب+ حكمة و+ ب+ عقل ، أما أخو +ه "" طيوش "" ، ف+ يحب ال+ هرج ، و+ يتصرف ب+ فوضوي +ه ، و+ يسبب مشاكل ، يحبط +ها دوما أخو +ه طيوب . سيناريو : هناء سيف ال+ دين رسوم : حاتم فتح +ي كان فريقا ال+ مجد و+ ال+ بدر ، يحتفلان ب+ انتهاء منافسات ال+ تنس ، و+ كان ال+ فائز ل+ هذا ال+ عام هو فريق ال+ مجد س+ ألقن فريق "" ال+ مجد "" ال+ مفاخر ب+ فوز +ه درسا لن ينسى +ه همممم ، ممتاز ، شوكولاتة الفلفول أصبحت جاهزة ، س+ أكسر أنوف +هم و+ في ال+ نادي قدم طيوش هدية +ه ال+ حارة . . تفضلوا يا أشبال . . هديتي +ي ال+ متواضعة أووف شوكولاتة حارة جدا طعم +ها حاررر لاذع آه ، ب+ طني +ي يؤلم +ني يبدو أن +ه مقلب من مقالب طيوش لا يهم +كم مذاق +ها ال+ حار ، إن +ها مغذي +ه جدا طيوش ، هل صنعت هذه ال+ شوكولاتة ب+ نفس +ك ؟ طبعا ، أقل شيء أقدم +ه ل+ هؤلاء ال+ متعالين ، مسحوق ال+ فلفل ال+ أحمر و+ ال+ شطة ، هاهاهاي كيف تفعل ذلك ب +هم ؟ أن +ك تؤذي +هم هيه يا أشبال ، توقفوا من فضل +كم ، لا تأكلوا هذه ال+ شوكولاتة س+ تؤلم بطون +كم أشربوا شراب ال+ نعناع ، س+ يريح +كم حالا و+ في ال+ احتفال يبدو و+ كأن +ه ال+ فائز . . عجيب مبروك ال+ فوز يا أصدقاء +ي ، أبليتم بلاء حسنا و+ ال+ آن طيوش س+ يمنح +كم وسام ال+ روح ال+ رياضية و+ يشعر طيوش ب+ ال+ خجل مبروك يا أصدقاء +ي ، و+ أعتذر عن شوكولاتتي +ي ال+ حارة"
1010227,BAREC_Majed_1686_2011_006.txt,54,663,14-nun,14,6,4,3,Majed,Edition: 1686,#,Arts & Humanities,Foundational,"مغامرات ماجد على طريق ال+ حرير يروي +ها : أشرف أبو اليزيد يرسم +ها : حسام التهامي +ي ال+ ذهب . . في قلعة حلب ( ال+ حلقة ال+ ثالثة ) ( ملخص ما سبق : يسافر ماجد إلى مدينة حلب ، شمال سورية ، إحدى محطات طريق ال+ حرير ، ل+ يتابع ال+ مهرجان ال+ عربي ل+ فنون طريق ال+ حرير ، أثناء ال+ افتتاح تحدث جريمة ) لم يشأ منظمو حفل افتتاح ال+ مهرجان ال+ عربي ل+ فنون طريق ال+ حرير تعكير صفو ال+ جمهور ، ف+ أعلنوا عن أن ال+ فقرات س+ تستكمل غدا ، دون أن يشيروا إلى وجود مشكلة ! خرجت ال+ فرق ال+ مشاركة واحدة بعد ال+ أخرى ، من مركز +ها في ال+ قلعة ، و+ ركب أفراد +ها ال+ حافلات التي انطلقت ب +هم إلى أماكن إقامة +هم . لاحظ ماجد أن فرقة أوزبكستان لم تخرج مع بقية ال+ فرق . اقترب من ال+ سلم ال+ ضخم ، على مقدمة +ه كان ال+ مؤرخ محمد قجة واقفا مع ب+ عض ال+ مسئولين . استأذن +ه ماجد أن يقول ملاحظة ربما تفيد فيما حدث : "" حدث أمران غريبان ، أثناء ال+ عرض ، لم تكن رئيسة ال+ فرقة و+ زميل +ها يؤديان ال+ إيقاعات مثل باقي زملاء +هم . ال+ أمر ال+ ثاني أن +ه عند تحية ال+ جمهور ، خرج ستة أفراد من ال+ ثمانية ، و+ لم يكن بين +هم رئيسة ال+ فرقة و+ زميل +ها . لا بد أن ال+ مشكلة تخص +هما "" . قال محمد قجة : "" ب+ ال+ فعل يا ماجد . ل+ قد عثر مسؤولو ال+ أمن داخل ال+ قلعة على ال+ راقص ال+ فنان ال+ حقيقي مربوطا . لا بد أن ال+ راقص الذي أدى ال+ عرض كان راقصا مزيفا . ل+ قد أراد سرقة ال+ ذهب ال+ حقيقي الذي ترتدي +ه . إن ال+ بحث ليلا في ال+ قلعة صعب ، ل+ أن +ها أضخم قلاع ال+ عالم ، و+ ل+ ذلك س+ نحرس ال+ بوابة حتى لا يخرج أحد . في ال+ صباح ال+ باكر س+ نبدأ ال+ بحث في أرجاء ال+ قلعة لن يستطيع ال+ لص ال+ خروج دون ال+ قبض على +ه "" . في ال+ فندق أعاد ماجد تسلسل ال+ أحداث . فكر أن يكون ال+ لص قد هرب ب+ ال+ فعل . ل+ قد كان أعضاء ال+ فرقة يضعون أقنع +ه ملون +ه ، و+ ثيابا تقليدية . لو غير ثياب +ه و+ نزع ال+ قناع ، ل+ أصبح مثل أي شخص آخر ب+ ال+ فرق التي غادرت ! في ال+ صباح بدأت ال+ جولة داخل ال+ قلعة . ترتفع قلعة حلب ب+ نحو خمسين مترا عن مستوى ال+ مدينة و+ هي محصنة ب+ سور دائري +ي و+ ب +ها ستة أبراج تطل على منحدر بني في +ه برجان يتصلان ب+ ال+ قلعة ب+ واسطة ال+ سراديب . عبر ماجد ال+ جسر ال+ مقام فوق ال+ قناطر ال+ ثمانية ال+ عملاقة التي ترتكز أعمدة +ها في خندق ضخم يبلغ عرض +ه حوال +ي ۳۰ مترا . ب+ فضل ال+ تصريح الذي أستخرج +ه ال+ مؤرخ محمد قجة ، استطاع ماجد مصاحبة فرق ال+ بحث ب+ ال+ قلعة ال+ أثرية ، ال+ جميع ينقبون عن ال+ لص . يبحثون عن رئيسة ال+ فرقة ال+ فنانة ال+ مخطوفة . يفتشون عن ال+ ذهب ال+ نفيس الذي كانت ترتدي +ه . داخل ال+ قلعة يوجد جامعان أقدم +هما هو جامع إبراهيم ال+ خليل الذي شيد +ه نور ال+ دين زنك +ي عام ١١٦٢ ميلادي +ه . ال+ جامع ال+ كبير ال+ آخر أنشآ +ه ال+ ظاهر غازي بن صلاح ال+ دين ال+ أيوبي عام ۱۲۱۰ ميلادي +ه ، و+ ترتفع مئذنة +ه عشرين مترا و+ تقع ب+ ال+ قسم ال+ شمالي من ال+ قلعة في شرق ال+ مسجد ال+ كبير كان هناك مركز عسكري مقام من ال+ حجارة ال+ منتزعة من سفح ال+ تل . هنا عثر ال+ حراس على ال+ فنان ليلة أمس . حين أنتصف ال+ نهار كان ال+ بحث في كل مكان يثبت شيئا واحدا هو أن ما يبحثون عن +ه قد أختفي . ف+ قد بحثوا وسط ال+ قلعة ب+ ال+ قصر ال+ ملكي الذي يعود تاريخ بناء +ه إلى ال+ قرن ال+ ثالث عشر ال+ ميلادي . و+ بحثوا في ال+ حمام ال+ كبير و+ غرفة ال+ عشرة ، التي تمر ب +ها أنابيب فخاري +ه ل+ ال+ مياه ال+ حارة و+ ال+ باردة بحثوا في ال+ سراديب ، و+ في ال+ قاعات ال+ دفاعية ، حتى وصلوا إلى قاعة ال+ عرش التي بنيت في عهد ال+ مماليك قبل أكثر من ٥٠٠ سنة . كانت ال+ نتيجة تؤكد شكوك ماجد ب+ أن ال+ لص غير ملابس +ه و+ خرج في ال+ زحام ، و+ لكن +ه إذا كان قد خرج ، ف+ أين هي رئيسة ال+ فرقة ال+ فنانة ال+ مخطوفة ؟ رن هاتف ال+ مؤرخ محمد قجة ال+ مشرف على فرق ال+ بحث كانت علامات ال+ دهشة بادي +ه على وجه +ه و+ هو يتلقى ذلك ال+ اتصال . قال ال+ مؤرخ ال+ كبير : "" ل+ قد عثرت ال+ شرطة على رئيسة ال+ فرقة ال+ فنانة نوري +ه في غرفة +ها ب+ ال+ فندق . كانت مخدر +ه ، و+ عند أفاقت +ها قالت إن رجلا و+ سيدة ل +هما ملامح أوروبية غريب +ه جاءا إلى غرفة +ها عصر ال+ أمس و+ وضعا على أنفي +هما مادة مخدر +ه ، و+ أخذا ال+ تاج و+ ال+ حلي ال+ ذهبية ال+ تاريخية التي ب+ حوزة +ها ، و+ قيدا أيد +هما و+ وضعا شريطين لاصقين على فمي +هما ، و+ لم يجد +ها سوى عمال ال+ فندق حين جاءوا ل+ تنظيف غرفة +ها . توقف قليلا و+ أضاف : "" ال+ مثير قول +ها ل+ ال+ شرطة ب+ أن +ها لم تحضر حفل ال+ افتتاح ! """
1010228,BAREC_Majed_1686_2011_007.txt,12,43,9-ta,9,3,2,1,Majed,Edition: 1686,#,Arts & Humanities,Foundational,"سيناريو : مريم سالم رسوم : هدي و+ صفي +ي ريال مدريد هو ال+ ملك هدئوا أعصاب +كم لا تتدخل أريد أن أساعد +هم يسجل ال+ فريق البرشلوني هدفا ما أروع +ك يا "" ميس +ي "" و+ هل تعرف ميس +ي ؟ رأيت +هم و+ فجأة يسجل ريال مدريد هدف ال+ تعادل هذا هو ال+ ملك"
1010229,BAREC_Majed_1686_2011_008.txt,23,155,14-nun,14,6,4,3,Majed,Edition: 1686,#,Arts & Humanities,Foundational,"رحلة ابن جبير يكتب +ها : جار ال+ نبي ال+ حلو يرسم +ها : سمير عبد ال+ منعم رحالة أندلس +ي غادر غرناطة ل+ أداء فريضة ال+ حج - تنقل بين ال+ أقطار ال+ إسلامية ، و+ دون مشاهد و+ ملاحظ في يوميات عرفت ب+ اسم "" رحلة ابن جبير "" . ال+ حلقة ال+ سادسة عشرة ملخص ما سبق : وصل ال+ مركب إلى جدة ، و+ سجل كل من ال+ مسافرين اسم +ه . . شاهد ابن جبير مساجد +ها و+ فندق +ها ، ثم استعدوا ل+ ال+ اتجاه إلى "" ال+ قرين "" . هذا ال+ موضع هو منزل ال+ حجاج ، و+ محط رحال +هم ، و+ من +ه يحرمون ب+ هذا ال+ موضع بئر عذب +ه س+ ننتظر فوق هذا ال+ جبل حتى ينتشر ال+ ضوء ل+ ال+ نزول إلى مكة مكة حرس +ها الله لا إله إلا الله ال+ كعبة ال+ مقدسة إن +ه طواف ال+ قدوم موضع أجاب +ه ال+ دعاء يا أحمد أشرب من ماء زمزم ، و+ هو ل+ ما شرب ل +ه كما قال رسول +نا ال+ كريم صلى الله على +ه و+ سلم و+ ال+ آن س+ نسعى بين ال+ صفا و+ ال+ مروة ال+ حمد لله الذي كرم +نا ب+ نعمة ال+ إسلام ماء ل+ من يريد أن يشرب الله لطيف ب+ عبادة . . لا إله سوا +ه"
1010230,BAREC_Majed_1686_2011_009.txt,25,426,14-nun,14,6,4,3,Majed,Edition: 1686,#,Arts & Humanities,Foundational,"بستان ال+ معرفة ال+ ناموس ب+ فضل ال+ رجال ال+ طوال و+ ال+ نساء ال+ بدينات ! إعداد : آمال مجد ال+ دين فهم +ي رسوم : ف+ داء مرشد ال+ رجال طوال ال+ قامة و+ ال+ نساء كبيرات ال+ حجم هم ال+ أكثر عرضة ل+ لسع ال+ بعوض . . هذا ما أكدت +ه دراسة حديثة قام ب +ها فريق من ال+ علماء ال+ بريطانيين ، قاموا خلال +ها ب+ مجموعة من ال+ أبحاث شملت مسحا ل+ أكثر من 300 شخص في إسكتلندا . يقول ال+ باحثون أن ال+ بعوض أو ال+ ناموس يطير عادة على ارتفاعات عالية تصل إلى مترين ، و+ ب+ ال+ تالي يلسع ال+ طوال أكثر . . كما أن ال+ نساء ذوات ال+ أحجام ال+ كبيرة يصدرن كميات أكبر من ال+ حرارة و+ ال+ رطوبة و+ ال+ مواد ال+ كيميائية ، من +ما يجذب ال+ ناموس والهاموش إلى +هن . مدن ل+ ال+ علوم . . في ال+ هند تسعى كثير من دول ال+ عالم ل+ تخصيص مدن كاملة ل+ ال+ علوم و+ ال+ تكنولوجيا . ال+ هند تملك أكثر من مدينة من هذا ال+ تراث ، من بين +ها مدينة ال+ علوم ب "" كالكتا "" و+ هي واحدة من أكبر مدن ال+ علوم مساحة . تحتوي هذه ال+ مدينة على ال+ عديد من ال+ نشاطات ، من بين +ها مبنى سينمائي ضخم ل+ ال+ أفلام ال+ علمية ثلاثية ال+ أبعاد ، و+ حدائق ل+ ال+ علوم ال+ طبيعية تضم ال+ عديد من هياكل ال+ حيوانات ال+ منقرضة ، و+ أقساما ترفيهية ذات طابع علمي ، ب+ ال+ إضافة إلى قسم مخصص ل+ أل +ه زمن خيالية ، تأخذ شكل قطار ، و+ ال+ عديد من ال+ أقسام ال+ أخرى . وجود مثل هذه ال+ مدن ، يكشف كيف تعمل ال+ دول ال+ طموحة علميا على ال+ أخذ ب+ فكرة تحويل ال+ علم إلى جزء من ثقافة ال+ مواطنين . ابتكارات لوح رفع +ي بسيط ل+ ال+ كتابة و+ ال+ رسم ! إذا كنت ترغب في تدوين ملاحظ و+ إجراء ب+ عض ال+ عمليات ال+ حسابية ب+ واسطة ال+ قلم ، و+ ال+ رسم و+ عمل مخططات بسيطة و+ سريعة ، ف+ إن ال+ لوح ال+ كمبيوتري الذي أطلق على +ه اسم "" نوت سلأت "" "" Note Slate "" سوف يكون مفيدا جدا ل +ك . يتميز لوح "" نوت سلأت "" ال+ رقمي ب+ بساطة +ه ال+ شديدة ، ف+ هو يتكون من شاشة كبيرة ب+ قياس 13بوصة ، أي هي ب+ قياس قريب من مقاس ال+ ورق ال+ تقليدي ، و+ مزود ب+ حبر و+ قلم إلكترونيين يمكنان +ك من ال+ كتابة و+ ال+ تدوين على ال+ شاشة . كما أن "" نوت سلأت "" يشبه ال+ سبورة ال+ سوداء التي كان يستخدم +ها ال+ طلاب سابقا ، و+ هي مجهزة ب+ مدخل "" يو إس بي "" "" USP "" ، و+ مكان ل+ وضع بطاقة "" إس دي "" و+ ك+ ذلك مدخل ل+ شحن ال+ لوح ب+ كهرباء 12 ف+ ولت . "" طاقي +ه "" تحفز ال+ ذكاء ! يعكف فريق من ال+ علماء حاليا على تطوير جهاز أطلق على +ه اسم "" طاقي +ه ال+ ذكاء "" يقوم ب+ إصدار نبضات مغناطيسي +ه متناهي +ه ال+ دقة و+ ال+ صغر ، ل+ تغيير طريقة عمل ال+ مخ ، و+ قد أسفر عن نتائج ملحوظة و+ ملموس +ه في ال+ اختبارات التي أجريت على +ه . في حال ال+ تمكن من تجويد أداء ال+ جهاز ، ب+ حيث يكون على ال+ قدر ال+ مطلوب من ال+ إتقان ، ف+ إن +ه يمكن عندئذ تسويق +ه ك+ غطاء ل+ NOAN ال+ قدرة على ال+ تجديد و+ ال+ ابتكار لدى ال+ فرد عند +ما تكون دوافع ال+ إبداع عند +ه في أد +ني مستويات +ها ."
1010231,BAREC_Majed_1686_2011_010.txt,18,147,13-mim,13,5,3,2,Majed,Edition: 1686,#,Arts & Humanities,Foundational,ال+ قرصان ثعلب ال+ بحر سيناريو و+ رسوم : سامح حسان رغم أن مهنة ال+ قرصنة مليئة ب+ ال+ عنف من ضرب و+ خطف و+ سرقة . . إلا أن أصعب ما في +ها هو عد ال+ نقود هل س+ تخبر +ه أنت . . أم أذهب أنا إلى +ه ؟ لا يا أخ +ي . . أخبر +ه أنت . . ف+ أنا غير مستغن عن عنق +ي سيد +ي . . كنت أود أن ألفت نظر +كم إلى أن ال+ يوم هو أول أيام ال+ شهر و+ ماذا يعني هذا ؟ هل يوافق عيد ميلاد +ك ؟ أتريد أن نغنى ل +ك عيد ميلاد سعيد ؟ لا يا سيد +ي . . إن +ه عيد ال+ مرتبات . . أقصد ال+ يوم الذي يفترض في +ه أن نقبض مرتب . . و+ هو ما لم يحدث منذ أكثر من سبعة شهور هممم . . حسنا خذ هذه و+ وزع ال+ باقي على زملاء +ك قراصنة آخر زمن . . يريدون مرتبات آخر ال+ شهر . . لن أستغرب إذا طلبوا من +ني ال+ مرة ال+ قادمة أن أشتر +ك ل +هم في فصول ال+ باليه
