ID,Document,Sentence_Count,Word_Count,Readability_Level,Readability_Level_19,Readability_Level_7,Readability_Level_5,Readability_Level_3,Source,Book,Author,Domain,Text_Class,Sentence
1010001,BAREC_Majed_0229_1983_001.txt,25,168,13-mim,13,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,مجلة كل ال+ أولاد و+ كل ال+ بنات ماجد ال+ أربعاء 13 يوليو 1983م ال+ موافق 2 شوال 1403 ه ال+ سنة ال+ خامسة ال+ عدد 229 ال+ ثمن درهمان عيد سعيد ال+ عنقاء تتعرض ال+ أرض ل+ هجوم من ال+ طيور ال+ مخيفة ال+ جارحة وتسطيع أنت ال+ دفاع عن كوكب +نا . يبدأ ال+ هجوم ب+ مجموعات من ال+ طيور ال+ صغيرة طلقات محكمة من مدفع +ك ال+ إشعاعي س+ تقضي على هذه ال+ طيور . كن على حذر أيضا س+ يأتي ملك هذه ال+ طيور في طبق طائر . . . يجب فتح طريق في ال+ طبق ل+ إيصال طلق إلى ال+ ملك . . . ألعاب جديدة أيضا من اتاري – إيرث وورلد ( ال+ عالم ال+ أرضي ) . ف+ إير وورلد ( عالم ال+ نيران ) . جالاكسيان ( ال+ قادم من ال+ نجوم ) . مس باكمان ، سنتبيد ( أم أربع و+ أربعين ) فانكارد ( ال+ طلائع ) . ص . ب . 682 أبو ظبي هاتف 721552 دولة ال+ بحرين – ال+ زبانى – ال+ منامة ص . ب 5553 سلطنة عمان – حينتكو – مطرح مسقط ص . ب 7006 لبنان – إيه سي إي إس – بيروت ص ب 1 ال+ أردن – سوختيان – عمان ص ب 1027
1010002,BAREC_Majed_0229_1983_002.txt,10,107,14-nun,14,6,4,3,Majed,Edition: 229,#,Arts & Humanities,Foundational,أمنيات ال+ عيد مساء أمس ، كنت أجلس وحد +ي في شرفة ب+ بيتي +ي ، أتطلع إلى ال+ هلال في ال+ سماء ، و+ أنا أتساءل : كم ولدا و+ كم بنتا يشاهدون هذا ال+ هلال مثل +ي ؟ و+ تساءلت أيضا . . هل أمضوا أيام ال+ عيد سعداء . ربما يكونوا قد صاموا ، و+ كان ال+ مفروض أن يبتهجوا ب+ ال+ عيد ، لكن ظروفا أقوى من +هم حرمت +هم من هذه ال+ بهجة . رحت أفكر في ال+ أولاد و+ ال+ بنات الذين يعيشون في فلسطين ال+ محتلة ، يكتوون ب+ نار ال+ استعمار ال+ إسرائيلي . تساءلت : أما آن ال+ أوان ل+ يتحرر هؤلاء ال+ أبرياء ؟ ! أنا أعرف أن ال+ أماني وحد +ها لا تكفي . لا بد أن تكون مصحوب +ه ب+ ال+ عمل . مع محبة +ي ، ، ، ماجد
1010003,BAREC_Majed_0229_1983_003.txt,13,39,12-lam,12,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,ماجد سنة أولى لقطات من صفحات ال+ عدد ال+ عشرين أصدقاء ماجد طه حسن راشد مدرسة ابن رشد . أبو ظبي منير حسن راشد مدرسة ابن رشد ف+ لاح حسن راشد مدرسة ابن رشد . أبو ظبي إيمان محمد ك+ أجور دبي .
1010004,BAREC_Majed_0229_1983_004.txt,9,77,13-mim,13,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,هذه هي ال+ أصول ɵ لا تتركي مشط +ك و+ بين أسنان +ه ما تساقط من شعر +ك . . نظفيه أولا ب+ أول . ɵ إذا سمعت نكتة أو حكاية و+ كنت تعرفين +ها ف+ لا تقاطعي قائلة +ها . . دعي +ها حتى تتم حديث +ها . . ف+ هذا أبسط قواعد آداب ال+ سلوك . ɵ تجنب +ي أن تبدى ملاحظ على ملابس صديق أو شكل +هن ال+ عام . . ف+ ال+ ملاحظات مؤلمة و+ لو كانت صادقة . . و+ إذا كان لا بد من إبداء ملاحظة ، ف+ ل+ تكن ب+ حذر و+ ب+ أسلوب رقيق .
1010005,BAREC_Majed_0229_1983_005.txt,17,156,14-nun,14,6,4,3,Majed,Edition: 229,#,Arts & Humanities,Foundational,عيال +ي ال+ حلوين أح +نا هالايام في فصل ال+ صيف ، و+ ال+ صيف طبيعي يكون حار ، و+ ال+ إنسان ما يحب ال+ حرارة و+ لا يحب ال+ برودة ال+ شديدة . . يحب ال+ جو ال+ معتدل . . كل +نا نحب نكون أصحاء ، و+ ما في أحسن من ال+ صحة و+ ال+ عافية . . زين . . عادة في ال+ شتاء نلبس ال+ ملابس ال+ صوفية ال+ قاتمة ل+ أن ال+ ملابس ال+ قاتمة تمتص ال+ حرارة و+ تسبب ل+ أجسام +نا ال+ دفء . ب+ عكس ال+ صيف نلبس ال+ ملابس ال+ قطنية ال+ خفيفة ال+ فاتحة و+ خاصة ال+ لون ال+ أبيض ، ل+ أن ال+ لون ال+ أبيض يعكس ال+ حرارة . ف+ ما نشعر ب+ ال+ حر ال+ شديد . . هذا خطر على صحة +كم . . و+ شيء ثاني بعد يا عيال +ي . . إيا +كم أشوف +كم مستحمين و+ طالعين بالماي على أجسام +كم أمام ال+ مكيف هذا خطر على +كم و+ على صحة +كم . . أريد أن أشوف +كم ك+ لكم مستأنسين في فصل ال+ صيف و+ إذا لا سمح الله مرض أحد من +كم ، لا يتأخر عن ال+ دكتور . كلما أسرع +نا ل+ ال+ دكتور قدر +نا نطرد ال+ مرض ب+ سرعة . عيال +ي ال+ حلوين . . أتمنى ل +كم إجازة لطيف +ه ممتع +ه و+ كل عام و+ أنتم ب+ خير بابا ياسين
1010006,BAREC_Majed_0229_1983_006.txt,71,518,12-lam,12,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,"ال+ طاعة ال+ كاملة سيناريو : جمال سليم رسوم : محمود فهم +ي أثناء ال+ طعام . . يجب أن نأكل فقط . . لا ننظر إلى ال+ زهور . . أو نشغل أنفس +نا ب+ شيء آخر ! كان ال+ ضابط رجلا عظيما و+ شجاعا . . لم يكن يحب ال+ ضحك . . و+ عند +ما ماتت زوجة +ه منع ابنة +ه مطيع +ه من ال+ بكاء . . . على +ها ! مطيع +ه تحب ال+ لعب . . و+ تحب ال+ كلام . . لكن ال+ ضابط ال+ كبير لم يكن يحب ال+ لعب أو ال+ كلام . أنت يا مطيع +ه ابنة ال+ ضابط ال+ كبير في هذه ال+ مدينة . . نعم يا أبي . . لا يجب أن تلعبي أو تضحكي أو تتكلمي . . و+ ماذا أفعل إذن يا أبي . . . ؟ ! و+ لا كلمة إلا نعم أولا . . أو من فضل +ك أو شكرا . . و+ في ال+ أيام ال+ تالية . مطيع +ه لا تتكلم . . ل+ أن أبا +ها أمر +ها أن +لا تتكلم إلا أربع كلمات . . هي : نعم . . لا . . من فضل +ك . . شكرا . . . لا أستطيع أن ألعب أو أتكلم . . أو أضحك . . ل+ أن بنات ال+ ضابط ال+ كبار لا يجب أن يفعلن ذلك افتحي ال+ باب يا مطيع +ه . . أنا عمة +ك . . افتحي ال+ باب . . أهلا أختي +ي ال+ عزيزة . . لماذا تبكى مطيع +ه ؟ لا شيء يا أبي . . لا شيء ب+ ال+ مرة . . و+ في ال+ يوم ال+ تالي . . إن +ها جميلة جدا جدا . نعم . . و+ لكن +ها لا تشبه +ني . . . ! و+ هذه . . . ؟ نعم هذه . . إن +ها أنسب عروس +ه ! نعم ! أريد هذه يا عمتي +ي نعم يا سيدتي +ي . . هذه ال+ عروسة تستطيع أن تردد ما يقال ل +ها . . أن تردد +ه ك+ ال+ ببغاء تماما . . ل+ قد ظننت أن +ك س+ تمكثين مع +نا طويلا يا أختا +ه ! س+ أنتظر زيارة +ك ل +ي في مزرعتي +ي . . لا أعتقد أن لدى وقتا يا أختا +ه . . مع ال+ سلامة ! و+ مرت ال+ أيام يا مطيع +ه . . أين أنت يا مطيع +ه ؟ ! ! مطيع +ه يا سيد +ي ال+ كابتن في سرير +ها . في سرير +ها حتى هذه ال+ ساعة أن +ني لم أر +ها منذ أسبوع . . أذهب و+ ناد +ها . لماذا لا تتحرك . . . ؟ هذا شيء غريب . . . ! ! لا أعرف شيئا يا سيد +ي . . س+ أذهب إلى +ها ب+ نفس +ي . . إن +ها لا تأكل و+ لا تشرب فقط تتكلم نفس ال+ كلمات نعم ، لا ، من فضل +ك . . شكرا . . و+ هذا يدهش +ني ! و+ يخيف +ني في نفس ال+ وقت . هيا معي ل+ نري ال+ أمر . . مطيع +ه . . مطيع +ه . . انهضي . . لا . . . أتريدين ال+ نوم ؟ نعم . . إن +ها لعبة ! ! ال+ عروسة التي اشترت +ها عمة +ها من دكان ال+ لعب . . أين ابنتي +ي ؟ أين مطيع +ه أيها ال+ خادم . . . ؟ آه ! ل+ قد تذكرت ما قالت +ه عمة +ها ل +ي . قالت ل +ي أن +ها س+ تنتظر زيارتي ال+ قادمة ل +ها في ال+ مزرعة . ل+ قد كانت تعني شيئا محددا أبي . . أبي . . نعم . . لا . . لا . . لا ترددي نفس ال+ كلمات . . لا تقولي "" نعم "" أو "" لا "" . . أو "" من فضل +ك "" . . أو "" شكرا "" . . فقط قولي كل ما تريدين . ."
1010007,BAREC_Majed_0229_1983_007.txt,82,581,14-nun,14,6,4,3,Majed,Edition: 229,#,Arts & Humanities,Foundational,ال+ بيت ليس معسكرا حربيا . ب+ أقلام ال+ أصدقاء ال+ بطل خلال حرب فلسطين عام 1948 . . كانت هناك قوة فدائية يقود +ها ضابط شاب اسم +ه : أحمد عبد ال+ عزيز ، خرج هو و+ من مع +ه من مصر إلى خان يونس . . ف+ أمر ب+ ال+ هجوم على +ها ليلا . . و+ تسللت مجموعة قليلة لا يزيد عدد +ها عن أصابع ال+ يدين . . و+ زرعوا في +ها ال+ قنابل من جميع ال+ جهات . . ثم قاموا ب+ تفجير +ها . . ف+ فزع ال+ يهود . . قتل من +هم من قتل . و+ هرب من +هم من هرب . . و+ ال+ فضل ل+ هذا ال+ عمل ال+ فدائي هو ل+ ال+ بطل أحمد عبد ال+ عزيز . فيصل أحمد ال+ خطيب رأس ال+ خيمة – ال+ أمارات من ال+ يمن أول من بنى ال+ سدود هم ال+ يمنيون . أول من بنى ال+ أبراج هم ال+ يمنيون . . و+ ذلك عند +ما احتل إبرهة ال+ أشرم ال+ حبشي ال+ يمن . . عصام ناصر يحيى صنعاء – ال+ يمن أسف +ي يقول ال+ جغرافيون . . أن كلمة ( أسف +ي ) مشتق +ه من ال+ كلمة ال+ بربرية ( أسيف ) . . و+ قد توالت على +ها شعوب مختلفة . . . أهم +هم : ال+ بيزنطيون و+ ال+ فينيقيون و+ ال+ رومان و+ أخيرا ال+ عرب . . حيث جاء عقبة بن نافع . . و+ عن طريق +ه انتشرت ال+ دعوة ال+ إسلامية . . و+ من بعد +ه جاء سيد +ي محمد الذي أتم نشر ال+ دعوة ال+ إسلامية في مدينة أسف +ي ال+ مغربية . . و+ لا يزال ضريح +ه قائما ب +ها حتى ال+ آن . . أسف +ي – ال+ مغرب أمثال إذا أردت ال+ سلام ف+ أستعد ل+ ال+ حرب ال+ ضربة ال+ أولى نصف ال+ معركة كل ما يأتي سريعا . . يذهب سريعا . أحمد مرعى عبد ال+ عزيز جيزان – ال+ سعودية لا يأتي ال+ شر إلا و+ مع +ه جزاء +ه . روي – سلطنة عمان قال الرازي ينبغي ل+ ال+ مريض أن يقتصر على واحد يثق ب +ه من ال+ أطباء . . و+ من يذهب ل+ أكثر من طبيب . . يتحمل خطأ كل من +هم . محمد ال+ فاضل مطير البلفدير – تونس عادات قديمة كانت آداب ال+ مائدة عند ال+ صينيين تقضي ب+ أن يلقى ال+ ضيوف ب+ عظام ال+ دجاج و+ عظام ال+ لحم . . و+ نوى ال+ زيتون . . و+ قشور ال+ فاكهة على ال+ أرض أثناء تناول ال+ طعام . . و+ كلما زادت ال+ نفايات التي يجمع +ها ال+ خدم من حول ال+ مائدة . . كان ذلك دليلا على ثراء ال+ مضيف و+ كرم +ه ! عصام على مراد ال+ دوحة – قطر هل تعلم أن ال+ عالم يستعمل يوميا من ال+ ورق ل+ كتابة ال+ صحف ما يقارب 12 مليون طن ؟ أمل عبد الله إبراهيم ال+ محرق – ال+ بحرين تعريف ال+ شر . . هو ال+ جرثومة ال+ وحيدة التي تري ب+ ال+ عين ال+ خير . . يحتاج ل+ عدسة مكبر +ه نيفين شريف ال+ عسلي جيزان – ال+ سعودية أمثال كويتية إن فات ال+ فوت . . ما ينفع ال+ صوت . ال+ حديد ب+ ال+ حديد يفلح . خلود عبد ال+ مجيد جاسم ال+ عمرية – ال+ كويت مساحة أيهما أكبر من حيث ال+ مساحة . . ال+ ولايات ال+ متحدة ال+ أمريكية أم ال+ اتحاد ال+ سوفييتي ؟ . . و+ ما مساحة كل من +هما ؟ وليد على عبد الله أبو ظبي – ال+ أمارات • • مساحة ال+ اتحاد ال+ سوفييتي أكبر من مساحة ال+ ولايات ال+ متحدة . . ف+ ال+ أول مساحة +ه 22244000 كيلو متر مربع . . و+ ال+ ثانية مساحة +ها 9363353 كيلو مترا مربعا . ما هو ال+ فرق بين ال+ ماكر . . و+ ال+ كاذب ؟ ياسر فتوح ال+ دمام – ال+ سعودية • • ال+ ماكر إنسان مخادع . . يحاول دائما خداع ال+ ناس و+ ل +ه في ذلك طرق مختلفة . . أما ال+ كاذب ف+ هو إنسان لا يقول ال+ حقيقة . . قد يضر أحدا ب+ كذبة أو يضر نفس +ه . ال+ نجاح ما هو شعور +ك بعد مرور أربع سنوات على إصدار ال+ مجلة ؟ محمد على عبد الله ال+ فجيرة – ال+ أمارات • • شعور طالب . . عمل و+ أجتهد و+ سهر . . ثم أعلنت ال+ نتيجة . . و+ كان ترتيب +ه ال+ أول . بين رشود و+ أصدقاء +ه لماذا تلبس نفس ال+ ملابس دائما ؟ أمان +ي محمود سلطان ال+ كويت ▫ ▫ عند +ني ملابس كثيرة . . و+ لكن +ني أفضل ال+ ملابس التي أظهر ب +ها في ال+ مجلة . . ل+ أن +ني أبدو أنيقا عند +ما أرتدي +ها .
1010008,BAREC_Majed_0229_1983_008.txt,37,283,12-lam,12,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,بين ماجد و+ أصدقاء +ه هنا يلتقي ماجد كل أسبوع ب+ أصدقاء +ه يرد على أسئلة +هم و+ استفسار سؤال . . يحير +ني من أين يأتي قوس قزح ب+ ألوان +ه ؟ ياسر محمد مدحت ال+ عجوزة – ال+ جيزة – مصر • • يظهر قوس قزح في ال+ سماء في مقابلة ال+ شمس عند +ما تضيء عبر قطرات ماء ال+ مطر . . ب+ حيث تقع ال+ شمس و+ عين ال+ مشاهد و+ مركز قوس قزح على استقامة واحدة . . ف+ يظهر ال+ قوس نتيجة انعكاس أشعة ال+ شمس و+ انكسار +ها . . حيث يتحلل ضوء ال+ شمس من خلال رذاذ ال+ ماء إلى عدة ألوان على شكل قوس ملون . تفرغ ماذا تفعل يا ماجد بعد أن تنتهي من استذكار دروس +ك ؟ طارق على عثمان إسكندري +ه – مصر • • أتفرغ ل+ ال+ رد على رسائل أصدقاء +ي . طلب . . و+ رجاء قراء ماجد في ال+ سعودية يطالبون ب+ مسلسل كبير يشتر +ك في +ه كل أبطال ال+ مجلة . . ف+ هل تلبي طلب +هم ؟ مازن ال+ سرحان مكة ال+ مكرمة • • أعد +ك ب+ ال+ بحث عن قصة تصلح ل+ أن تكون مسلسلا يشتر +ك في +ه جميع ال+ أبطال . تحسين ال+ خطوط أعانى من مشكلة كبيرة تؤثر على حياة +ي كثيرا و+ هي . . رداءة خطى . . ف+ ماذا أفعل ؟ محمد عبد ال+ عليم طه شبرا – ال+ قاهرة – مصر • • تحسين خط +ك يحتاج إلى تدريب على ال+ كتابة ال+ سليمة ب+ واسطة كتب ال+ خط ال+ مدرسية . تجويد ال+ قرآن لماذا لا تضع ل +نا في صفحة ( أحباب الله ) ركنا ل+ تعليم قراءة ال+ قرآن و+ تجويد +ه ؟ هدي سعيد عبود ال+ خبر – ال+ سعودية • • قراءة ال+ قرآن و+ تجويد +ه يعتمدان على ال+ تقليد ال+ صوتي . . أي إلى معلم يقرأ ال+ قرآن و+ أنت تستمعين إلى +ه . . و+ تقلدين +ه . ال+ جمل صابر هل استقال ال+ جمل صابر من ال+ مجلة . . أم سافر . . أم ماذا ؟ على أحمد محمد أبو ظبي – ال+ أمارات * * ال+ جمل صابر مع +نا . . و+ يبحث ال+ آن عن مغامرة جديدة .
1010009,BAREC_Majed_0229_1983_009.txt,40,337,12-lam,12,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,بين ف+ همان و+ أصدقاء +ه ما هو شعور +ك عند +ما تقبض على مجرم ؟ فاس – ال+ مغرب • • نفس شعور ال+ إنسان الذي أدى واجب +ه ب+ نجاح . رد خاص صحم – سلطنة عمان : قرأت رسالة +ك ب+ إعجاب شديد . . ف+ قد أثبت أن +ك فتى قوي ال+ إرادة . . سليم ال+ تفكير . . و+ حرص +ك على ال+ تعليم رغم دخول +ك ال+ مدرسة في سن متأخرة يدل على أن +ك سوف تشق طريق +ك ب+ نجاح . . و+ سوف تعوض كل ما فات +ك . . و+ تفوق +ك ال+ دائم أكبر دليل على ذلك . . ف+ لا يهم +ك أي شيء آخر . . و+ لا تفكر في كلمات ال+ إعجاب و+ ال+ تشجيع التي تفتقد +ها . . و+ حاول أن تجد ل +ك صديقا مخلصا يشارك +ك أفكار +ك و+ أحلام +ك و+ الله ال+ موفق . شخصيات إسلامية لماذا لا تقدم ل +نا بابا عن ال+ شخصيات ال+ إسلامية مثل . . عمر بن ال+ خطاب . . و+ غير +ه . . من ال+ شخصيات التي ل +ها أكبر ال+ أثر في تاريخ ال+ أمة ال+ إسلامية ؟ سمر محمد ال+ حنفي شريين – مصر • • قدمنا جميع ال+ شخصيات ال+ إسلامية في باب ( أحباب الله ) في إعداد سابقة و+ قد أكتب عن +ها مرة ثانية في ال+ مستقبل . بين فضول +ي و+ أصدقاء +ه لماذا لا نرى +ك في قصة طويلة كل أسبوع بدلا من اختفاء +ك بين ال+ صور ؟ منى صالح سعيد رأس ال+ خيمة – ال+ أمارات • • أنا فضول +ي . . و+ من صفات ال+ فضولي أن يحشر نفس +ه بين ال+ صور . . و+ بين ال+ ناس . . و+ لا يظهر واضحا . . صريحا في أي مكان . . . ! ملحوظة : صورتي +ي التي ترى +ها فوق هذا ال+ كلام ، ليس ل +ها علاقة ب+ مسابقة ( أبحث عن فضول +ي ) أنا موجود في مكان آخر ! هل يمكن +ك الإهتداء إلى +ه ؟ ! أبي . . و+ أم +ي هل تعلم أن أم +ي تقرأ كسلان جدا . . و+ موز +ه ؟ . . و+ هل تعلم أن أب يحب قراءة زكي +ه ال+ ذكية ؟ شريف فوزي عطا الله ال+ سالمية – ال+ كويت • • ألم أقل إن ال+ مجلة . . ل+ ال+ كبار . . و+ ال+ صغار ؟ ؟ بين موز +ه و+ أصدقاء +ها أيهما تحبين أكثر . . أم +ك أم أبا +ك ؟ . . و+ لماذا ؟ فهد على ال+ تميمي أبو ظبي – ال+ أمارات • • أحب ال+ اثنين حبا متساويا . .
1010010,BAREC_Majed_0229_1983_010.txt,54,384,13-mim,13,5,3,2,Majed,Edition: 229,#,Arts & Humanities,Foundational,بطاقات لدى ال+ بطاقات ( 7و8و13و14و15 ) . . و+ أريد مبادلة +ها ب+ ال+ بطاقات ( 18و29و30 ) . . . ! ال+ سعودية – ال+ طائف – ص . ب : 380 ▫ ▫ ب+ دون تعليق من . . إلى من ال+ صديق محمد بشار – جمهورية مصر ال+ عربية – ال+ قاهرة – مصر ال+ جديدة – 4 شارع محمد عزت . . إلى ال+ صديقة و+ حمأن أم كلثوم – ال+ مغرب : • • أرجو أن أطمئن على وصول أوراق ال+ شجر إلى +ك . من ال+ صديق يوسف إسماعيل حاتم – خورفكان – ال+ شارقة – ال+ أمارات . . إلى ال+ صديق صالح جاسم العرادي – ال+ بحرين : • • أشكر +ك على ما قدمت +ه ل +ي من خدمات . ردود سريعة طه بن عبد ال+ قادر – قفص +ه – تونس : تستطيع ال+ اشتراك في ال+ مسابقات من ال+ آن . سعد إبراهيم – ال+ مدينة ال+ منورة . ممكن . سلا +ك رشيد – خريبكة – ال+ مغرب : س+ أحاول . عبد الله قائد ، وازع سعيد ، فؤاد عبد ال+ عزيز ، أحمد عبده – تعز – ال+ يمن : أهلا ب +كم جميعا . وفاء عبد ال+ حميد – الفحاحيل – ال+ كويت : استعملي مظروف ال+ مسابقات . عبد ال+ عظيم موسى - نيالا – ال+ سودان : أرحب بك . حسني حفيظة – فاس ال+ مغرب : أعتبر +ك صديقة من ال+ آن . كوثر محمد – شمبات – ال+ سودان : وصلت +ني رسالة +ك . صلاح محمد صالح – أبو سعد – ال+ سودان : أرسل عنوان +ك واضحا و+ كاملا ل+ ال+ أهمية . فاطمة حسين – دبي – ال+ أمارات : ال+ نكت سبق نشر +ها . تامر محمد عثمان – ال+ خرطوم – ال+ سودان : أرحب ب+ صداقة +ك . شهزلان سلمان – ال+ منامة – ال+ بحرين : أهلا بك . خليفة عبد الله – ال+ عين – ال+ أمارات : رسالة +ك وصلت . عمر محمد ال+ طيب – ال+ منامة – ال+ بحرين : أخت +ك صغيرة جدا . يحيى راشد – رأس ال+ خيمة – ال+ أمارات : أين ال+ صورة ؟ بدر يوسف مختار – دبي – ال+ أمارات : أرجو أن أكون عند حسن ظن +ك . عبير حسن – ال+ رياض – ال+ سعودية : أخبري والد +ك بما حدث . عمر محمد – ال+ إسكندرية – مصر : أجاب +ه ال+ مسابقات تكون فقط في ال+ رسالة ال+ مخصصة ل+ ذلك . ريم +ي حداد – عمان – ال+ أردن : ال+ بيانات هي : اسم +ك و+ عنوان +ك كاملا . أسامة الزيني – ال+ دوحة – قطر : أنتظر حتى تنتهي ال+ مسابقة . لمياء لطف +ي – دمياط – مصر : أرحب ب+ اشتراك +ك في أي مسابقة : ضحك وضح +ك وضح +ك
